Heading,Spec Heading,Check Item,Features,Selected Item,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Material / Color,Size
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead H, Structural NWT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,3.5,235,822.5,8.85%,65.42,0,9.79,53808,0,8052,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead I, Structural NWT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,3.5,235,822.5,8.85%,70.5,0,8.33,57986,0,6851,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead J, Structural WT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,4,240,960,10.33%,80.58,0,8.66,77357,0,8314,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead K, Structural WT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,4,240,960,10.33%,82.9,0,8.86,79584,0,8506,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead L, Structural WT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,4,225,900,9.69%,97.33,0,8.86,87597,0,7974,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,"Bulkhead M, Structural WT",TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,4,215,860,9.26%,104.5,0,8.86,89870,0,7620,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,,Longitudinal Bulkhead Allowance Structural,TRUE,Gord,Updated,New,Down,New WP I.D.,,Bulkhead Panels,N/A,Each,Westport Shipyards,,,Measured,3.5,100,350,3.77%,108,0,11.16,37800,0,3906,,
Hull Scantlings & Structure,Keel Stiffening Core,TRUE,"Structural Core, X-LINK PVC, 5#, 1""",FALSE,Gord,Updated,New,Down,101317-02,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,X-Link PVC,"1"""
Hull Scantlings & Structure,Keel Stiffening Core,TRUE,"Structural Core, Polyfoam (6"" THICK)",FALSE,Gord,Updated,New,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,Polyfoam,"6"""
Hull Scantlings & Structure,Keel Stiffening Core,TRUE,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip)",FALSE,Gord,Updated,New,Down,100937-01,,Core,N/A,LF,,,,Manufacturer,,,,,,,,,,,Polyfoam,"2-1/2"""
Hull Scantlings & Structure,Keel Laminate Schedule 5,,"Chopped Strand Matt, E-Glass, 3/4 OZ. (2X)",FALSE,Gord,Updated,New,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 5,,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (2X)",FALSE,Gord,Updated,New,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 5,,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",FALSE,Gord,Updated,New,Down,101426-01,,Laminate,N/A,SF,,,,Guess,,,,,,,,,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 6,,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X)",FALSE,Gord,Updated,New,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 6,,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",FALSE,Gord,Updated,New,Down,100909-01,,Laminate,N/A,SF,,,,Guess,,,,,,,,,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 6,,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",FALSE,Gord,Updated,New,Down,101426-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Stiffener 1 Port Core,,"Structural Core, Polyfoam (6"" Thick)",FALSE,Gord,Updated,WP-3800,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,Polyfoam,"6"""
Hull Scantlings & Structure,Stiffener 1 Port Core,,"Structural Core, Polyfoam (4"" Thick, Aft Vertical Stiffener)",FALSE,Gord,Updated,WP-3800,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,Polyfoam,"4"""
Hull Scantlings & Structure,Stiffener 1 Port Core,,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip, Engineroom Only)",FALSE,Gord,Updated,WP-3800,Down,100937-01,Engineroom,Core,N/A,LF,,,,Manufacturer,,,,,,,,,,,Polyfoam,"2-1/2"""
Hull Scantlings & Structure,Stiffener 1 Port Core,,"Structural Core, X-Link PVC, 5#, 1"" (Engineroom Only)",FALSE,Gord,Updated,WP-3800,Down,101317-02,Engineroom,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,X-Link PVC,"1"""
Hull Scantlings & Structure,Stiffener 1 Port Core,,"Structural Core, Polyuerethane, 20#, 2"" (4"" Thick Cap, Engineroom Only)",FALSE,Gord,Updated,WP-3800,Down,100918-04,Engineroom,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,Polyurethane,"2"""
Hull Scantlings & Structure,Laminate Schedule 8,,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",FALSE,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 8,,"Chopped Strand Mat, E-Glass, 3/4 OZ. (6X, Top with Cap)",FALSE,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 8,,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",FALSE,Gord,Updated,WP-3800,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 8,,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",FALSE,Gord,Updated,WP-3800,Down,101426-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 8,,"Unidirectional Fabric, E-Glass, E-LR 1708 (20X, Cap)",FALSE,Gord,Updated,WP-3800,Down,101977-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 7,,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",FALSE,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 7,,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",FALSE,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 7,,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",FALSE,Gord,Updated,WP-3800,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 7,,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",FALSE,Gord,Updated,WP-3800,Down,101426-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 7,,"Unidirectional Fabric,E-Glass, E-LR 1708 (13X, Cap)",FALSE,Gord,Updated,WP-3800,Down,101977-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 12,,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",FALSE,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 12,,"Chopped Strand Mat, E-Glass, 3/4 OZ. (3X, Top with Cap)",FALSE,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 12,,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (12X)",FALSE,Gord,Updated,WP-3800,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 12,,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",FALSE,Gord,Updated,WP-3800,Down,101426-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Laminate Schedule 12,,"Unidirectional Fabric, E-Glass, E-LR 1708 (3X, Cap)",FALSE,Gord,Updated,WP-3800,Down,101977-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
Hull Scantlings & Structure,Core,,"Structural Core, Polyfoam (6"" Thick)",FALSE,Gord,Updated,New,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,Polyfoam,"6"""
Hull Scantlings & Structure,Core,,"Structural Core, Polyfoam (4"" Thick, Aft Vertical Stiffener)",FALSE,Gord,Updated,New,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,Polyfoam,"4"""
Hull Scantlings & Structure,Core,,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip (Engineroom Only)",FALSE,Gord,Updated,New,Down,100937-01,Engine  Room,Core,N/A,LF,,,,Manufacturer,,,,,,,,,,,Polyfoam,"2-1/2"""
Hull Scantlings & Structure,Core,,"Structural Core, X-Linked PVC, 5#, 1"" (Engineroom Only)",FALSE,Gord,Updated,New,Down,101317-02,Engine  Room,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,X-Link PVC,"1"""
Hull Scantlings & Structure,Core,,"Structural Core, Polyurethane, 20#, 2"" (4"" Thick Cap Engineroom Only)",FALSE,Gord,Updated,New,Down,100918-04,Engine  Room,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,Polyurethane,"2"""
Hull Scantlings & Structure,Laminate Schedule 8,,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",FALSE,Gord,Updated,WP-3800,Down,100899-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,
