Heading,Spec_Heading,Features,Model,Hyperlink,Source,Weight,Quantity,Material_And_Color,Size
Hull Scantlings & Structure,"Bunk, Diesel Oil Fuel Tank #1","Bunk Diesel Oil Tank #1, Polybond",,,Solidworks,67.3,0.436,,
Hull Scantlings & Structure,"Bunk, Black Water Tank","Bunk, Black Water Tank, Core",,,Solidworks,5,1.842,,
Hull Scantlings & Structure,"Bunk, Black Water Tank","Bunk, Black Water Tank, Polybond",,,Solidworks,67.3,0.923,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Fuel Tank #2","Bunk, Diesel Oil Fuel Tank #2, Core",,,Solidworks,5,3.666,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Fuel Tank #2","Bunk, Diesel Oil Fuel Tank #2, Polybond",,,Solidworks,67.3,1.747,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3","Bunk, Diesel Oil Tank #3, Core",,,Solidworks,5,10.4,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3","Bunk, Diesel Oil Tank #3, Polybond",,,Solidworks,67.3,1.5,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3","Bunk, Lube Oil Tanks",,,Solidworks,5,0.356,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3","Bunk, Black Water Transfer Tank",,,Solidworks,5,0.234,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3","Bunk, Mid Grey Water Transfer Tank",,,Solidworks,5,0.234,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3","Bunk, Forward Gray Water Transfer Tank",,,Solidworks,5,0.284,,
Hull Scantlings & Structure,"Bunk, Diesel Oil Tank #3","Bunk, Aft Grad Water Transfer Tank",,,Solidworks,5,0.231,,
Hull Scantlings & Structure,Sole Ledgers,"Sole Ledgers, Longitudinal @ XXXXX"" WL",,,Solidworks,110,0.582,,
Hull Scantlings & Structure,Sole Ledgers,"Sole Ledgers, Longitudinal @ XXXXX"" WL",,,Solidworks,110,0.113,,
Hull Scantlings & Structure,Sole Ledgers,"Sole Ledgers, Longitudinal @ XXXXX"" WL",,,Solidworks,110,0.07,,
Hull Scantlings & Structure,"Bunks, Generators","Bunk, Port Generator (5# CORE)",,,Solidworks,5,2.638,,
Hull Scantlings & Structure,"Bunks, Generators","Bunk, Port Generator (20# CORE)",,,Solidworks,20,0.423,,
Hull Scantlings & Structure,"Bunks, Generators","Bunk, Starboard Generator (5# CORE)",,,Solidworks,5,2.636,,
Hull Scantlings & Structure,"Bunks, Generators","Bunk, Starboard Generator (20# CORE)",,,Solidworks,20,0.423,,
Hull Scantlings & Structure,"Bunks, Generators","Limbers (Pipe, Fiberglass, 2"" [102389-02])",,,Solidworks,0.5,65,,
Hull Scantlings & Structure,"Bunks, Generators","Limbers (Pipe, Fiberglass, 4"" [102389-05])",,,Solidworks,1.3,6.5,,
Hull Scantlings & Structure,"Bunks, Generators",False Floor,,,Measured,11,1,,
Hull Scantlings & Structure,Through Hull Arrangement,"1"" Structural Core, Polyuerethane, 20#,",,,Manufacturer,1.67,21,Polyurethane,"1"""
Hull Scantlings & Structure,Through Hull Arrangement,"1-1/2"" Structural Core, Polyuerethane, 20#,",,,Manufacturer,2.5,5,Polyurethane,"1-1/2"""
Hull Scantlings & Structure,Through Hull Arrangement,"1/2"" Structural Core, Corecell, A 1200",A-1199,,Guess,0.542,11,Corecell,"1/2"""
Hull Scantlings & Structure,Through Hull Arrangement,"1"" Structural Core, Corecell, A 1201",A-1200,,Guess,1.083,12,Corecell,"1"""
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead B, Structural WT",,,Measured,4,55,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead C, Structural NWT",,,Measured,3.5,100,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead D, Structural NWT",,,Measured,3.5,150,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead E, Structural NWT",,,Measured,3.5,190,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead F, Structural WT",,,Measured,4,230,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead G (upper), Structural NWT",,,Measured,3.5,170,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead G (Lower), Structural WT (includes cofferdam)",,,Measured,4,85,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead H, Structural NWT",,,Measured,3.5,235,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead I, Structural NWT",,,Measured,3.5,235,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead J, Structural WT",,,Measured,4,240,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead K, Structural WT",,,Measured,4,240,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead L, Structural WT",,,Measured,4,225,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,"Bulkhead M, Structural WT",,,Measured,4,215,,
Hull Scantlings & Structure,Hull Bulkheads Assembly,Longitudinal Bulkhead Allowance Structural,,,Measured,3.5,100,,
Hull Scantlings & Structure,Keel Stiffening Core,"Structural Core, X-LINK PVC, 5#, 1""",,,Manufacturer,,,X-Link PVC,"1"""
Hull Scantlings & Structure,Keel Stiffening Core,"Structural Core, Polyfoam (6"" THICK)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Keel Stiffening Core,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip)",,,Manufacturer,,,Polyfoam,"2-1/2"""
Hull Scantlings & Structure,Keel Laminate Schedule 5,"Chopped Strand Matt, E-Glass, 3/4 OZ. (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 5,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 5,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Guess,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 6,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 6,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Guess,,,,
Hull Scantlings & Structure,Keel Laminate Schedule 6,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Stiffener 1 Port Core,"Structural Core, Polyfoam (6"" Thick)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Stiffener 1 Port Core,"Structural Core, Polyfoam (4"" Thick, Aft Vertical Stiffener)",,,Manufacturer,,,Polyfoam,"4"""
Hull Scantlings & Structure,Stiffener 1 Port Core,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip, Engineroom Only)",,,Manufacturer,,,Polyfoam,"2-1/2"""
Hull Scantlings & Structure,Stiffener 1 Port Core,"Structural Core, X-Link PVC, 5#, 1"" (Engineroom Only)",,,Manufacturer,,,X-Link PVC,"1"""
Hull Scantlings & Structure,Stiffener 1 Port Core,"Structural Core, Polyuerethane, 20#, 2"" (4"" Thick Cap, Engineroom Only)",,,Manufacturer,,,Polyurethane,"2"""
Hull Scantlings & Structure,Laminate Schedule 8,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 8,"Chopped Strand Mat, E-Glass, 3/4 OZ. (6X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 8,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 8,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 8,"Unidirectional Fabric, E-Glass, E-LR 1708 (20X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Unidirectional Fabric,E-Glass, E-LR 1708 (13X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Chopped Strand Mat, E-Glass, 3/4 OZ. (3X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (12X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Unidirectional Fabric, E-Glass, E-LR 1708 (3X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (6"" Thick)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (4"" Thick, Aft Vertical Stiffener)",,,Manufacturer,,,Polyfoam,"4"""
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip (Engineroom Only)",,,Manufacturer,,,Polyfoam,"2-1/2"""
Hull Scantlings & Structure,Core,"Structural Core, X-Linked PVC, 5#, 1"" (Engineroom Only)",,,Manufacturer,,,X-Link PVC,"1"""
Hull Scantlings & Structure,Core,"Structural Core, Polyurethane, 20#, 2"" (4"" Thick Cap Engineroom Only)",,,Manufacturer,,,Polyurethane,"2"""
Hull Scantlings & Structure,Laminate Schedule 8,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 8,"Chopped Strand Mat, E-Glass, 3/4 OZ. (6X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 8,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 8,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 8,"Unidirectional Fabric, E-Glass, E-LR 1708 (20X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Unidirectional Fabric,E-Glass, E-LR 1708 (13X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Chopped Strand Mat, E-Glass, 3/4 OZ. (3X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (12X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Unidirectional Fabric, E-Glass, E-LR 1708 (3X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (6"" Thick)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip (Engineroom Only)",,,Manufacturer,,,Polyfoam,"2-1/2"""
Hull Scantlings & Structure,Core,"Structural Core, X-Linked PVC, 5#, 1"" (Engineroom Only)",,,Manufacturer,,,X-Link PVC,"1"""
Hull Scantlings & Structure,Core,"Structural Core, Polyurethane, 20#, 2"" (4"" Thick Cap Engineroom Only)",,,Manufacturer,,,Polyurethane,"2"""
Hull Scantlings & Structure,Laminate Schedule 9,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 9,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 9,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 9,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 9,"Unidirectional Fabric, E-Glass, E-LR 1708 (12X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Unidirectional Fabric,E-Glass, E-LR 1708 (13X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Chopped Strand Mat, E-Glass, 3/4 OZ. (3X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (12X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Unidirectional Fabric, E-Glass, E-LR 1708 (3X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (6"" Thick)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip (Engineroom Only)",,,Manufacturer,,,Polyfoam,"2-1/2"""
Hull Scantlings & Structure,Core,"Structural Core, X-Linked PVC, 5#, 1"" (Engineroom Only)",,,Manufacturer,,,X-Link PVC,"1"""
Hull Scantlings & Structure,Core,"Structural Core, Polyurethane, 20#, 2"" (4"" Thick Cap Engineroom Only)",,,Manufacturer,,,Polyurethane,"2"""
Hull Scantlings & Structure,Laminate Schedule 9,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 9,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 9,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 9,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 9,"Unidirectional Fabric, E-Glass, E-LR 1708 (12X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 7,"Unidirectional Fabric,E-Glass, E-LR 1708 (13X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Chopped Strand Mat, E-Glass, 3/4 OZ. (3X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (12X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 12,"Unidirectional Fabric, E-Glass, E-LR 1708 (3X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (6"" Thick)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Laminate Schedule 10,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 10,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 10,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 10,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 10,"Unidirectional Fabric, E-Glass, E-LR 1708 (12X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Unidirectional Fabric, E-Glass, E-LR 1708 (16X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (6"" Thick)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Laminate Schedule 10,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 10,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 10,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 10,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 10,"Unidirectional Fabric, E-Glass, E-LR 1708 (12X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 11,"Unidirectional Fabric, E-Glass, E-LR 1708 (16X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (6"" Thick)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Core,"Chopped Strand Mat, E-Glass, 3/4 OZ. (1X, 12"" Wide Pad, STA XX- XX)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Unidirectional Fabric, E-Glass, E-LR 1708 (2X, 12"" Wide Pad, STA XX-XX)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Chopped Strand Mat, E-Glass, 3/4 OZ. (5X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Knit Fabric, E-Glass, 0/90, E-GLASS, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Unidirectional Fabric, E-Glass, E-LR 1708 (18X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 4,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 4,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 4,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 4,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 4,"Unidirectional Fabric, E-Glass, E-LR 1708 (11X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Structural Core, Polyfoam (6"" Thick)",,,Manufacturer,,,Polyfoam,"6"""
Hull Scantlings & Structure,Core,"Chopped Strand Mat, E-Glass, 3/4 OZ. (1X, 12"" Wide Pad, STA XX- XX)",,,Manufacturer,,,,
Hull Scantlings & Structure,Core,"Unidirectional Fabric, E-Glass, E-LR 1708 (2X, 12"" Wide Pad, STA XX-XX)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Chopped Strand Mat, E-Glass, 3/4 OZ. (5X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Knit Fabric, E-Glass, 0/90, E-GLASS, E-2LTI 3600 (4X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (2X)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 3,"Unidirectional Fabric, E-Glass, E-LR 1708 (18X, Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 4,"Chopped Strand Mat, E-Glass, 3/4 OZ. (2X, Sides)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 4,"Chopped Strand Mat, E-Glass, 3/4 OZ. (4X, Top with Cap)",,,Manufacturer,,,,
Hull Scantlings & Structure,Laminate Schedule 4,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (4X)",,,Manufacturer,,,,
